,0,1,2,3,4,5,6,7,8,9,10,11
40,BC:6A:29:BE:31:57_-91,6C:EC:EB:1F:F6:76_-62,6C:EC:EB:1F:F6:76_-66,,,,,,,,,
41,6C:EC:EB:1F:F6:76_-90,BC:6A:29:BE:2F:76_-88,6C:EC:EB:1F:F6:15_-92,,,,,,,,,
42,6C:EC:EB:1F:F6:76_-97,7C:66:9D:7B:2B:90_-62,,,,,,,,,,
43,,,,,,,,,,,,
44,7C:66:9D:7B:29:FB_-99,6C:EC:EB:1F:FD:83_-87,6C:EC:EB:1F:F4:46_-89,,,,,,,,,
45,7C:66:9D:7B:2B:90_-80,6C:EC:EB:1F:F6:24_-76,7C:66:9D:7B:29:FB_-79,7C:66:9D:7B:2B:9F_-75,6C:EC:EB:1F:F6:65_-67,6C:EC:EB:1F:F6:76_-71,7C:66:9D:7B:2B:9F_-75,6C:EC:EB:1F:F6:26_-80,6C:EC:EB:1F:F6:65_-68,,,
46,,,,,,,,,,,,
47,7C:66:9D:7B:29:FB_-74,6C:EC:EB:1F:F4:74_-87,6C:EC:EB:1F:F6:26_-83,6C:EC:EB:1F:F4:74_-88,7C:66:9D:7B:2B:9F_-71,6C:EC:EB:1F:FD:83_-78,,,,,,
48,6C:EC:EB:1F:F4:46_-72,7C:66:9D:7B:29:FB_-88,6C:EC:EB:1F:F6:65_-78,6C:EC:EB:1F:F6:65_-80,6C:EC:EB:1F:F6:76_-75,,,,,,,
49,7C:66:9D:7B:29:FA_-71,7C:66:9D:7B:2D:4A_-65,7C:66:9D:7B:2D:4A_-64,7C:66:9D:7B:2D:4A_-65,,,,,,,,
50,BC:6A:29:BE:31:57_-72,7C:66:9D:7B:2B:90_-76,,,,,,,,,,
51,6C:EC:EB:1F:F6:76_-81,,,,,,,,,,,
52,7C:66:9D:7B:29:FB_-75,6C:EC:EB:1F:F6:76_-83,6C:EC:EB:1F:FD:83_-80,7C:66:9D:7B:29:FB_-78,7C:66:9D:7B:2B:90_-62,6C:EC:EB:1F:F6:26_-80,,,,,,
53,7C:66:9D:7B:2B:9F_-84,6C:EC:EB:1F:F6:24_-79,6C:EC:EB:1F:F6:24_-75,,,,,,,,,
54,BC:6A:29:BE:2F:23_-93,BC:6A:29:BE:31:57_-84,BC:6A:29:BE:2F:23_-93,,,,,,,,,
55,7C:66:9D:7B:2B:90_-83,6C:EC:EB:1F:FD:83_-72,6C:EC:EB:1F:F6:65_-81,6C:EC:EB:1F:F6:76_-70,,,,,,,,
56,6C:EC:EB:1F:FD:9B_-90,6C:EC:EB:1F:F6:24_-86,6C:EC:EB:1F:F6:76_-86,,,,,,,,,
57,BC:6A:29:BE:2F:23_-77,6C:EC:EB:1F:F4:74_-57,6C:EC:EB:1F:FD:83_-74,,,,,,,,,
58,6C:EC:EB:1F:F6:65_-72,BC:6A:29:BE:2F:23_-79,6C:EC:EB:1F:F4:46_-74,6C:EC:EB:1F:F6:65_-73,7C:66:9D:7B:2B:90_-85,,,,,,,
59,BC:6A:29:BE:31:57_-59,6C:EC:EB:1F:F6:26_-92,7C:66:9D:7B:2B:90_-69,6C:EC:EB:1F:F6:15_-91,7C:66:9D:7B:2B:90_-69,,,,,,,
60,,,,,,,,,,,,
61,6C:EC:EB:1F:F6:76_-92,6C:EC:EB:1F:F6:26_-74,6C:EC:EB:1F:F6:76_-93,7C:66:9D:7B:29:FA_-80,6C:EC:EB:1F:FD:83_-81,6C:EC:EB:1F:F6:76_-92,7C:66:9D:7B:29:FA_-79,,,,,
62,7C:66:9D:7B:29:FA_-93,7C:66:9D:7B:2B:90_-92,6C:EC:EB:1F:FD:9B_-90,,,,,,,,,
63,7C:66:9D:7B:29:FA_-70,BC:6A:29:BE:2F:76_-85,,,,,,,,,,
64,6C:EC:EB:1F:FD:83_-82,6C:EC:EB:1F:F4:74_-70,6C:EC:EB:1F:F6:65_-79,6C:EC:EB:1F:F6:76_-71,BC:6A:29:BE:2F:23_-66,6C:EC:EB:1F:F4:74_-70,6C:EC:EB:1F:F6:24_-85,6C:EC:EB:1F:F6:55_-88,BC:6A:29:BE:2F:23_-66,7C:66:9D:7B:2B:9F_-64,,
65,6C:EC:EB:1F:F4:74_-69,,,,,,,,,,,
66,6C:EC:EB:1F:F6:65_-80,6C:EC:EB:1F:FD:83_-71,6C:EC:EB:1F:F6:24_-73,BC:6A:29:BE:2F:23_-78,6C:EC:EB:1F:FD:83_-70,6C:EC:EB:1F:F4:74_-84,,,,,,
67,6C:EC:EB:1F:F6:24_-80,6C:EC:EB:1F:F4:46_-86,6C:EC:EB:1F:FD:9B_-88,6C:EC:EB:1F:F6:55_-77,7C:66:9D:7B:2B:90_-82,,,,,,,
68,6C:EC:EB:1F:F6:76_-83,7C:66:9D:7B:2B:9F_-66,6C:EC:EB:1F:F6:65_-82,6C:EC:EB:1F:F6:26_-89,6C:EC:EB:1F:F6:65_-82,,,,,,,
69,6C:EC:EB:1F:F6:76_-90,6C:EC:EB:1F:F4:74_-64,6C:EC:EB:1F:F6:76_-90,,,,,,,,,
