,0,1,2,3,4,5,6,7,8,9,10,11
40,6C:EC:EB:1F:F4:74_-76,BC:6A:29:BE:31:57_-92,7C:66:9D:7B:29:FB_-97,,,,,,,,,
41,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,7C:66:9D:7B:2B:90_-76,,,,,,,,,
42,7C:66:9D:7B:29:FB_-63,7C:66:9D:7B:29:FB_-63,,,,,,,,,,
43,,,,,,,,,,,,
44,6C:EC:EB:1F:F4:74_-66,6C:EC:EB:1F:F4:74_-66,6C:EC:EB:1F:F6:24_-88,,,,,,,,,
45,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:76_-72,6C:EC:EB:1F:F6:76_-72,,,
46,,,,,,,,,,,,
47,6C:EC:EB:1F:F4:74_-86,6C:EC:EB:1F:F4:74_-86,6C:EC:EB:1F:F4:74_-86,6C:EC:EB:1F:F4:74_-88,6C:EC:EB:1F:F4:74_-86,6C:EC:EB:1F:F4:74_-86,,,,,,
48,7C:66:9D:7B:2B:9F_-77,7C:66:9D:7B:2B:9F_-77,7C:66:9D:7B:2B:9F_-77,7C:66:9D:7B:2B:9F_-77,7C:66:9D:7B:2B:9F_-77,,,,,,,
49,BC:6A:29:BE:2F:76_-77,BC:6A:29:BE:2F:76_-77,BC:6A:29:BE:2F:76_-77,BC:6A:29:BE:2F:76_-77,,,,,,,,
50,7C:66:9D:7B:2B:90_-72,7C:66:9D:7B:2B:90_-72,,,,,,,,,,
51,6C:EC:EB:1F:F6:26_-82,,,,,,,,,,,
