,total_mask_num,match_num,match_ratio
0,2,0,0.0
1,7,1,0.14285714285714285
2,1,0,0.0
3,3,0,0.0
4,6,0,0.0
5,3,0,0.0
6,6,1,0.16666666666666666
7,1,0,0.0
8,3,1,0.3333333333333333
9,5,1,0.2
10,3,1,0.3333333333333333
11,1,0,0.0
12,2,1,0.5
13,3,0,0.0
14,3,0,0.0
15,3,2,0.6666666666666666
16,3,0,0.0
17,4,1,0.25
18,4,1,0.25
19,4,0,0.0
20,1,0,0.0
21,3,0,0.0
22,8,2,0.25
23,1,0,0.0
24,4,0,0.0
25,5,0,0.0
26,2,0,0.0
27,8,0,0.0
28,7,1,0.14285714285714285
29,5,1,0.2
30,5,0,0.0
31,0,0,NAN
32,1,0,0.0
33,1,0,0.0
34,5,1,0.2
35,2,0,0.0
36,2,0,0.0
37,8,2,0.25
38,1,1,1.0
39,2,0,0.0
40,3,0,0.0
41,3,0,0.0
42,2,0,0.0
43,0,0,NAN
44,3,0,0.0
45,9,0,0.0
46,0,0,NAN
47,6,1,0.16666666666666666
48,5,0,0.0
49,4,0,0.0
50,2,0,0.0
51,1,0,0.0
52,6,0,0.0
53,3,0,0.0
54,3,0,0.0
55,4,0,0.0
56,3,0,0.0
57,3,0,0.0
58,5,1,0.2
59,5,0,0.0
60,0,0,NAN
61,7,1,0.14285714285714285
62,3,0,0.0
63,2,0,0.0
64,10,2,0.2
65,1,0,0.0
66,6,0,0.0
67,5,1,0.2
68,5,1,0.2
69,3,0,0.0
70,8,2,0.25
71,5,0,0.0
72,1,0,0.0
73,11,1,0.09090909090909091
74,5,1,0.2
75,1,0,0.0
76,7,2,0.2857142857142857
77,0,0,NAN
78,7,2,0.2857142857142857
79,2,0,0.0
80,5,0,0.0
81,7,0,0.0
82,3,1,0.3333333333333333
83,4,0,0.0
84,5,1,0.2
85,4,0,0.0
86,7,0,0.0
87,1,0,0.0
88,5,1,0.2
89,2,0,0.0
90,0,0,NAN
91,6,1,0.16666666666666666
92,1,0,0.0
93,4,2,0.5
94,3,0,0.0
95,4,0,0.0
96,7,0,0.0
97,7,0,0.0
98,3,1,0.3333333333333333
99,4,0,0.0
100,2,0,0.0
101,4,0,0.0
102,2,0,0.0
103,5,1,0.2
104,4,1,0.25
105,2,0,0.0
106,6,1,0.16666666666666666
107,2,0,0.0
108,1,0,0.0
109,2,2,1.0
110,2,0,0.0
111,2,1,0.5
112,4,1,0.25
113,6,0,0.0
114,2,0,0.0
115,10,0,0.0
116,3,0,0.0
117,7,0,0.0
118,2,0,0.0
119,2,0,0.0
120,5,0,0.0
121,3,1,0.3333333333333333
122,5,0,0.0
123,2,0,0.0
124,0,0,NAN
125,4,0,0.0
126,2,0,0.0
127,1,1,1.0
128,3,2,0.6666666666666666
129,5,1,0.2
130,2,1,0.5
131,7,0,0.0
132,2,0,0.0
133,1,0,0.0
134,6,0,0.0
135,4,1,0.25
136,7,0,0.0
137,0,0,NAN
138,2,1,0.5
139,8,2,0.25
140,3,0,0.0
141,4,1,0.25
142,0,0,NAN
143,1,0,0.0
144,2,0,0.0
145,1,0,0.0
146,3,0,0.0
147,2,2,1.0
148,6,1,0.16666666666666666
149,1,0,0.0
150,3,0,0.0
151,4,1,0.25
152,7,0,0.0
153,1,0,0.0
154,6,2,0.3333333333333333
155,4,0,0.0
156,1,0,0.0
157,8,0,0.0
