error_distance,point_reference_tag
1.0185151735632991,3
1.0234429607031341,4
1.0985785287680339,5
1.1196784881795125,14
1.1550053166296765,6
1.251883918892771,4
1.2701232542854786,6
1.348793592148281,6
1.365754038998846,6
1.4190088091223076,6
1.4539396148314516,19
1.4808869513097287,19
1.4955254386758354,5
1.549357046933339,6
1.5695894181697125,5
1.6428351253460967,19
1.6708939830326637,4
1.6765327686809999,6
1.8640541299950892,19
1.8990057137746719,8
1.9528376046340363,15
2.0412957176064066,20
2.059946256948489,8
2.1113644534856664,3
2.131444794679247,13
2.463038028594892,4
2.4685164601867915,5
2.4711554817524983,6
2.645628014006281,6
2.7080331496487546,4
2.7167516878378932,5
2.778369353514074,1
2.8003022796843897,1
2.9018734457132482,1
2.9554344535983708,3
3.0098387542169696,15
3.143896753919878,4
3.1664181800881677,17
3.264575519163091,20
3.3299129210145035,4
3.7335615630160337,14
3.778459261850246,13
3.922760114716358,6
3.933677690608743,13
4.01340746586553,4
4.026189622325005,13
4.031399271273728,10
4.040515000351682,20
4.176368985027979,4
4.312074635726823,4
4.42508251577622,4
4.605915415065204,4
4.682873338226007,4
4.841322396144383,4
5.729952254061047,14
5.888977515484885,4
6.574261784786837,13
6.610627739656987,4
6.737767329905981,4
6.98196618584967,11
7.195731907142137,4
7.575295287295184,20
8.086615743718957,4
8.109638772173467,4
8.125390366588665,4
8.143356569441568,4
8.143490822902072,4
9.248648133757666,4
9.98180664568741,20
10.14710812613218,15
10.207021791919434,4
10.507032135701023,12
10.778161269327274,4
11.089187100791323,4
11.216100335350095,4
11.673199401437557,4
11.685724667090813,4
12.086488300297736,4
12.34343430197242,18
12.390322027547255,17
12.927010293141661,17
12.948940632433827,17
12.957232013604358,17
13.08192857559178,4
13.196572120639214,4
13.226780473872717,4
13.23730708371604,4
13.240516887181725,4
13.33431299640363,4
13.340058332367356,4
13.347658451420735,4
13.780478809567146,12
13.82242602678713,11
14.163265480097682,16
