error_distance,point_reference_tag
1.0143288809172735,4
1.019258944853309,19
1.0276820856040365,9
1.0988199240078877,5
1.112021419894291,6
1.119879776416644,4
1.1419889829762138,15
1.1547240849139764,1
1.1701842001489073,3
1.1747824764867194,4
1.1749085310133116,1
1.217000972545476,4
1.2818969503243862,19
1.3688813563374835,4
1.3785160369550074,13
1.4243949966911575,4
1.4500619680423417,3
1.4578667381327028,6
1.468854451470192,6
1.488067398884794,19
1.4991999551201847,4
1.5136653002183527,4
1.5725172544664723,17
1.6362057314831346,4
1.689283937848858,16
1.7097699922950929,5
1.730225194035245,8
1.7692362279274034,1
1.799697270259118,15
1.8738955022044528,7
1.938892741338977,16
1.9635469796325395,19
1.9770971008487932,6
2.0901342730691104,16
2.098754455340182,19
2.116641785267066,19
2.1288587157204413,6
2.1682513359833795,12
2.1690398850444668,14
2.244566131502945,6
2.2496959225177178,8
2.2546408959093744,10
2.261204997962023,18
2.264169494335043,13
2.340744279117455,6
2.3760313704358196,17
2.7329573450979945,16
2.7554593622322234,9
2.8992232425524946,4
2.9414784702216106,20
3.0367179668960915,1
3.069565004080804,1
3.0713324669697433,5
3.0761423127517227,13
3.1350665829485296,4
3.239775784146492,20
3.2832565504323474,4
3.3647802017169757,16
3.3932881282217884,1
3.4078530892608603,8
3.469829643408784,4
3.625353475091223,16
3.6735902222815118,11
4.329881637429095,4
4.528331745373394,4
4.650254534661345,4
5.81827817331685,20
5.819751661578929,20
5.8828077298755925,13
5.978745186268527,20
6.590899632424411,14
7.240326157639804,14
7.346930958010242,4
7.350421358273022,20
7.509443603592312,20
7.775635421247185,4
7.872020253200143,20
7.954679233941803,4
8.122659510858792,4
8.242200525437894,4
8.554875837980868,4
8.600500622321654,15
8.637868138227372,4
9.359524047265987,15
9.588734239232743,15
9.749594889853281,15
10.185702744917897,4
10.281767959018556,12
10.395032697324535,4
10.41714691526954,12
10.789562449189527,16
11.5375465885105,18
12.48219487182713,17
12.541684355594626,4
12.554230957261991,4
12.605276209324245,11
12.736806410065316,17
13.123236253168763,4
13.246188418107137,11
13.448328873987467,4
13.535508549057266,4
13.549833400557265,4
13.558011134006069,4
13.576071602233723,11
13.911260145608157,16
14.341007131539339,11
