error_distance,point_reference_tag
1.0004770185576384,5
1.0019055577807978,3
1.0021089137973698,5
1.0021804188192338,13
1.0023835893972073,4
1.0042062923707746,7
1.0056624198958948,5
1.0059485498507568,20
1.0074799490081752,9
1.0075652026602284,17
1.0087661587191392,8
1.0116741336728599,5
1.0118324037054203,6
1.0119842813203137,2
1.011995704574037,19
1.0124784208907047,8
1.01256106320059,7
1.0140693438908548,2
1.0140739370832685,20
1.015059847885277,20
1.016299839943529,14
1.0172474342703226,17
1.018577603916587,14
1.0207127182909077,8
1.0231813564490104,17
1.0251496721377746,15
1.0275096067936824,19
1.0286545252616532,5
1.0290316841868927,19
1.0298074796775165,4
1.0306508996154706,5
1.0309142094613963,17
1.0314901184919818,2
1.0316704550900342,17
1.031699949599837,6
1.0325370288056732,4
1.0335078240839406,18
1.0344676212296091,7
1.038031796730086,5
1.0402152035630365,3
1.0426208434184039,15
1.0430874505859848,2
1.0436415545114721,2
1.0448771408975828,11
1.044929857864261,20
1.0459701097899419,14
1.0469928648747886,14
1.0475595203499382,4
1.0485333953859346,2
1.0485399210880302,5
1.0498639853345855,13
1.0501254312522428,5
1.0514787638711556,7
1.0526462582995457,15
1.0568603632595497,3
1.0592749515680229,4
1.0594738130835202,8
1.0599220600109063,3
1.0608552642634785,15
1.0612923543386794,18
1.063721445825344,7
1.0645018747540826,15
1.064789823452847,9
1.0669926045278608,19
1.0697657848054434,3
1.0698512267306588,3
1.0714235521818654,14
1.0744171097208022,14
1.0748409538392927,5
1.0749374533398404,4
1.0753609986923747,3
1.0762841666964063,15
1.0770786900842724,3
1.077747204435138,20
1.077844533643702,15
1.0786329528672878,6
1.0806501297773405,2
1.0820184715192875,13
1.0823153690552343,15
1.082715410370729,12
1.083747023099503,14
1.0837531025035612,7
1.0844376349106544,5
1.0850673354946705,5
1.0859070594042532,7
1.0869555047096162,15
1.0872626174228432,13
1.0878298352668183,9
1.0924318274065181,8
1.092719599785428,2
1.092949016998467,15
1.092966721239573,15
1.0932922710958766,16
1.0936195042820218,3
1.0950981880151733,3
1.0967455114432612,13
1.0968212554798205,13
1.0994472874691157,7
1.1002456640078462,17
1.1017666878495147,13
1.1041676361649175,15
1.1046769295406496,2
1.105198201145494,2
1.1059205179873075,11
1.1061114325089816,14
1.106507037338369,4
1.1078769132834363,10
1.1084021793169176,2
1.1099193611370477,14
1.1104716781765698,2
1.11077439923181,19
1.1115783257955483,15
1.1118466004376961,13
1.1126183824842342,4
1.1142697611961483,3
1.1143023573655542,19
1.1144399996024,20
1.1157696465231928,4
1.1165387206748119,2
1.1173882779992959,13
1.1199030980805253,5
1.1200215432837852,17
1.120398876186732,5
1.1211741289695816,8
1.121205944283491,13
1.121883546651064,3
1.1222965501535866,8
1.122668060766935,14
1.1238970063053324,16
1.1266258176710915,5
1.1274184887875691,14
1.1274349867935887,10
1.1287349728480067,18
1.131400148624037,4
1.1320530444810473,14
1.1327241989485,8
1.1330539095910055,5
1.1333396376117038,20
1.1336277628187803,10
1.1336382381262087,8
1.1338275602439973,19
1.1339021827325424,20
1.1341763007172603,4
1.1378894960476003,3
1.1379358218145943,20
1.1401516078329976,8
1.1410387845008365,4
1.1438068570212367,2
1.1449020298279744,7
1.1453881213776498,3
1.1465906457551527,14
1.1484753862809909,2
1.151559171603047,15
1.154806251219564,15
1.1557931602387326,11
1.1560420489738326,19
1.1568064217150973,2
1.1570562622544298,2
1.1581435375531637,19
1.1582808083338905,14
1.1590222002579513,2
1.1591350703926475,13
1.161173057807377,20
1.161316638244721,7
1.1619638876360805,8
1.1622805110431407,5
1.163068251407446,9
1.1636600402891173,3
1.1638656348370353,4
1.1643420316778625,9
1.1649028074745222,3
1.1664880366411035,7
1.1675001918221306,6
1.1676630693333065,7
1.1695550929554006,7
1.1699585293906454,5
1.170261434920657,3
1.1721461538047981,13
1.172323596069422,7
1.172735748690118,2
1.1730911238904624,3
1.1736955090691679,19
1.1742729376909387,9
1.1745777435032343,9
1.1749441048711107,6
1.1750561091933744,8
1.1751322818810852,9
1.17647109746699,14
1.176662990023661,7
1.1766799987301662,20
1.178162290083433,13
1.1787816738755112,20
1.1800410233552032,4
1.1803941276977103,15
1.1810024427518044,18
1.1816666791573134,15
1.18278172075007,6
1.1830180672031125,14
1.1840841692928201,2
1.1845298023661028,3
1.185564724919642,15
1.185940692622007,15
1.187564215664049,6
1.1888326728309835,12
1.189618556859537,20
1.1902252017413448,17
1.190724524840571,3
1.1916617559393234,20
1.1922683841461428,5
1.1943768145237883,14
1.1951874009974177,14
1.1984212563575527,5
1.1992630755994838,17
1.199923841661565,3
1.201909706137653,12
1.2024883753427966,19
1.202674495972721,9
1.205000935203736,9
1.2056802336014343,7
1.2057711204419892,14
1.2057848560358821,14
1.2069001521940554,17
1.2078509005198845,2
1.209753007400945,2
1.2101051079826253,3
1.2112842338829897,14
1.2116858204505552,7
1.2124546982472075,14
1.2136354862843794,8
1.2173300315298345,4
1.2187152094272173,2
1.2200887675656427,5
1.220436367201012,13
1.220676002389548,8
1.2207376235635554,15
1.220749967200772,2
1.2218473482064582,15
1.2221673262489077,13
1.2224088862088298,15
1.2224584035748405,8
1.2235583911683094,13
1.2238476655859711,4
1.2248915300931422,3
1.225995850426666,3
1.2260516974669433,4
1.2262173837147674,8
1.2273893468876815,4
1.2277818278302828,15
1.2283552723722235,20
1.228361838990235,2
1.228430907032017,15
1.2289983332807404,14
1.231239973195808,5
1.2313703044569402,11
1.231731580586361,3
1.23237586398364,11
1.2328889838963701,9
1.2356193559971416,7
1.2375116480022537,5
1.2379082064486688,9
1.2389837400409962,3
1.2392938840920658,16
1.2403534215252676,12
1.240518727643528,19
1.2405903286896145,19
1.2408424860673688,14
1.2435599062221323,7
1.2438134754277979,3
1.2444774580708309,2
1.2447684072514738,14
1.2452551374818897,6
1.246913443341088,15
1.249069550232907,2
1.2503784071175426,2
1.2505043820442976,13
1.2507068124193892,14
1.251133082351097,8
1.252005582275777,8
1.252262837906088,9
1.2542169339042382,4
1.2545964697849148,5
1.2558310585720316,7
1.2565806811716105,18
1.2565891177872046,14
1.2566539685435643,3
1.256903371619412,10
1.2570440823092937,20
1.2580484411079473,17
1.258409198270611,4
1.2598626230513565,2
1.2610113871567317,17
1.261521625786342,2
1.261625661802969,4
1.2622215983323524,5
1.26236500666002,3
1.263385587615164,15
1.2644528664345633,3
1.2645971518965056,17
1.2651806014952836,15
1.266026066733009,14
1.2665593559733233,3
1.2666407338718568,3
1.2672020769672376,13
1.2674532793783122,5
1.2680337918922255,7
1.2693654753686814,5
1.2693980201371258,13
1.2698442543120758,4
1.2709532575720965,5
1.2740949368333938,8
1.2744523592389858,19
1.275195047932228,2
1.2776142469358882,2
1.2782060465335678,13
1.2783926784929351,17
1.2787658372086181,10
1.2788800997711045,18
1.280687500608465,4
1.2812549477944362,4
1.2835365439256528,15
1.2844040544198403,13
1.287999085156829,5
1.2889552988830248,7
1.2894470683194166,14
1.292983245027429,5
1.2939319726295813,11
1.2964014735131497,2
1.2964630469698744,6
1.2972173785595698,5
1.2991053658449265,19
1.3011485717585938,8
1.3023365479116555,8
1.302884343725478,17
1.3036822155225887,9
1.3043721574933826,6
1.304944446633213,7
1.3050543528453387,14
1.3065246617510617,11
1.3066880259677511,14
1.3080205361519777,20
1.3094235522414226,13
1.311585228361012,18
1.3131018433998938,8
1.3136938464602304,15
1.3141251580030775,17
1.3143737040931418,8
1.3145552510844039,4
1.3152562009326472,4
1.3154204058887131,8
1.3156532064578348,17
1.3162713721697343,18
1.3175386155598803,13
1.318726767317202,15
1.3189139551988438,3
1.319720699002755,15
1.3207543426655426,13
1.321179882103374,17
1.3225941038606817,10
1.3234462102342004,2
1.3237177027854448,13
1.323888005017812,15
1.3253186551984364,11
1.3257053568414774,4
1.3263706163821187,18
1.3273623784655069,17
1.3279014424984876,13
1.3305691821492969,8
1.330621822845992,4
1.331830690893284,9
1.3330109620651927,10
1.3332795048107093,8
1.3344349264073703,8
1.3350148041328949,19
1.3356644779609013,7
1.335874148333272,7
1.3408603286468637,9
1.3408627904849422,9
1.3410989172600631,6
1.341477660565595,4
1.343854369330364,2
1.3438822727628268,8
1.348988493833187,8
1.3510536403756204,4
1.3537063921713035,4
1.35512665360807,8
1.3566568609061334,2
1.3568521898988386,12
1.3583720794920136,2
1.3585903339286778,15
1.3594179554901449,2
1.3594240210833741,6
1.3594462476041547,16
1.3607079842300371,16
1.3610380326983187,13
1.362584932341561,8
1.3632174016938114,9
1.3632874044946472,7
1.3646725817434213,14
1.3653254898387033,8
1.3667113314319965,13
1.3685595357384999,5
1.368779916484584,10
1.3687890641441272,6
1.3702458816232728,6
1.3706718189631828,4
1.372715474289104,14
1.3728637209761798,15
1.3797330213890782,4
1.3803354061846806,8
1.3806432568994602,3
1.381272564758161,9
1.381839411893101,7
1.3819949206141324,9
1.3832786173796172,8
1.3849264178485272,11
1.3861803135189814,14
1.3888801114879072,7
1.3911811201469395,14
1.3915099859570719,8
1.392833674544508,7
1.3950065168302128,8
1.395685168288112,9
1.3965739320664385,14
1.3970317508598369,15
1.3972736447111918,8
1.3972788131081013,8
1.3989781299010373,15
1.4011745252547505,8
1.401968618022054,16
1.4030492811985456,13
1.4048337035440468,19
1.4048709444628134,7
1.4055371328861388,18
1.406049232694897,9
1.4061317590679392,8
1.4066302156352701,14
1.4115347519044483,8
1.411761318277849,2
1.4127215550369308,13
1.412728273505208,6
1.4137437234181789,3
1.414826296629189,6
1.4166991667287738,5
1.4173387763060596,19
1.417943730334001,5
1.4189616840586103,8
1.4192726704206386,13
1.4201939499928002,19
1.4206666781902926,9
1.4221620586411277,4
1.4229498838375798,8
1.423714800420898,17
1.425734878383091,10
1.4263965257970737,8
1.428126023405541,8
1.429283617656938,18
1.4292862568010658,10
1.429913990138749,3
1.4324624545806242,6
1.4331992748242137,2
1.4337989179426442,18
1.434555650250576,13
1.4358783593300937,5
1.4372053721247244,8
1.4385249090119443,16
1.438896236062896,19
1.4388988382364705,9
1.4389628694550431,4
1.4411756982835298,17
1.4421645439029669,3
1.4450545289839596,8
1.4458216774611892,16
1.4462107044320058,20
1.4464039395803432,8
1.4468904437159582,4
1.4474834991122063,13
1.447637669160515,5
1.4496086352084305,4
1.450251096318005,10
1.4553650165868555,5
1.455367049485184,13
1.4566213460476138,3
1.4575731619509937,2
1.458606321291298,11
1.460200279359523,11
1.4607985407070432,18
1.4641030138965023,8
1.4655723513401115,19
1.4656196289364956,8
1.467178909224816,16
1.4693737510650309,2
1.469499287371258,10
1.4702569067522906,7
1.4713014344262365,20
1.4736173357279003,7
1.474706679300442,20
1.4749095779614352,14
1.4755958527413489,14
1.4769684568693888,16
1.4776819495078917,2
1.4796455919575193,4
1.4801167008155847,8
1.4807292560743754,13
1.481264734137291,15
1.48151392692683,8
1.4828026260979192,2
1.4831516948725971,16
1.4839384594429297,14
1.4847132061128268,2
1.4849797497221475,17
1.4850363955836878,10
1.485157627381427,2
1.4852755961789437,18
1.4861457625780823,6
1.4867126731718698,8
1.486880242909014,10
1.4874551625538417,2
1.487867839591057,10
1.4880477630612081,7
1.4891721653937926,4
1.4892471256507502,3
1.491576171411305,4
1.4939006901410092,5
1.4949767492608426,6
1.4956124070830272,16
1.4959751834745199,7
1.497320833189713,18
1.4982310886537764,5
1.4985266517666034,11
1.50023387779612,7
1.500314832091154,19
1.5009335342915262,17
1.5018411518533998,7
1.5021507590156506,6
1.5025836250281601,4
1.5033155387197907,4
1.5033603650562923,20
1.5044854887419745,7
1.5053233826936219,3
1.5059303526184125,2
1.506583193332882,18
1.506763231886203,10
1.5075114230390787,3
1.5081742303003944,17
1.5083260203475775,20
1.5084313891001424,14
1.5089444979112658,15
1.5092688455963819,13
1.5092802057197552,20
1.509514740972728,9
1.5116248646626078,9
1.5126537423517292,9
1.5145699473319916,2
1.5148548808260798,7
1.516052168278953,19
1.517931088285498,13
1.5180466109432624,15
1.5190027978772853,8
1.5208893144235411,18
1.5209326385107427,11
1.5210262460652004,7
1.5229567895617666,16
1.5243908318579287,13
1.5259976401555466,20
1.5266329953310669,4
1.5309583162057097,3
1.5314254116987671,11
1.5317348103542434,19
1.5341101927000835,2
1.53425737514284,6
1.5351157608684638,6
1.53591967538536,9
1.536679862197464,8
1.5394841768833798,8
1.5400694417940026,15
1.5405055588163736,5
1.5413748462467853,14
1.5414036808400062,4
1.5427479032890858,6
1.5429035892475023,5
1.5430883969920484,5
1.5439265368388835,9
1.5457694142006375,14
1.5484331567685614,5
1.5496511371598674,10
1.5499279671929804,19
1.5531087446501155,19
1.55494499432021,1
1.555098896241818,13
1.555688874477638,2
1.5558762464789064,10
1.5571032957650104,10
1.5574202643689155,5
1.5597851225556396,2
1.5601126118254558,16
1.5613901179264447,7
1.5614288168442967,13
1.5621082689733552,9
1.5633376397316872,12
1.5639301675230364,8
1.564186918884726,4
1.56788733706728,6
1.5680498072377447,13
1.568272814238054,2
1.5714566926938371,8
1.571740052238081,14
1.5730909147866763,8
1.5737354870904592,8
1.5750164626880445,15
1.5755977570139095,10
1.575859663406493,16
1.5762786361665364,4
1.5766272644430999,2
1.5766913708846726,2
1.5774870147803435,9
1.5781655711735352,11
1.5797797312273358,4
1.583936610550661,7
1.5840756799983355,10
1.5847806866039142,6
1.5847834406355976,14
1.585614976707607,5
1.5865245323117794,14
1.586560744637472,5
1.5893169480680078,1
1.5908327565249691,4
1.5922819170966938,15
1.5934426203944265,7
1.5938922957818675,19
1.5949014463338733,8
1.5951557209954712,11
1.5958108579300518,2
1.5976166757044146,5
1.597903760697827,14
1.5993472001760907,9
1.6009267838267378,7
1.6015741208266,10
1.602889940657582,15
1.603012731951859,2
1.6037947171147109,15
1.6043536784405765,5
1.6047363105365926,10
1.605608863947546,10
1.6067045626418477,13
1.6071804497707496,7
1.6076756715278426,7
1.6088642817436853,8
1.609903395884464,7
1.6104387693375162,7
1.6106889742956028,4
1.6112347120409682,5
1.6120531561544709,10
1.6150035272065675,8
1.6164236738967894,3
1.617240147123816,13
1.61799499662734,14
1.6197935168836217,2
1.6232966019516504,2
1.6256688816653337,15
1.6259079301960553,6
1.626351488715095,8
1.6264780355831108,3
1.6267073015345213,8
1.62735841673697,5
1.6291273621864808,3
1.6299584452817517,8
1.6317102299775939,6
1.6317922393349755,4
1.633316438431065,12
1.6335382654362083,7
1.635788731303849,16
1.6358952225186074,13
1.6394951637363657,19
1.639765749903734,5
1.64071365776229,14
1.6417355421764925,2
1.6426109430274354,19
1.6429916585416773,15
1.6434536476043242,15
